full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349520
1 2 2 1 320363
1 2 3 1 49508.9
1 2 4 1 170028
1 3 1 1 214569
1 3 2 1 169137
1 3 3 1 19372.8
1 3 4 1 147227
1 4 1 1 136454
1 4 2 1 92892.4
1 4 3 1 8047.69
1 4 4 1 129107
1 5 1 1 88928.1
1 5 2 1 53730
1 5 3 1 3643.18
1 5 4 1 114851
1 6 1 1 59579.4
1 6 2 1 33301.9
1 6 3 1 1843.43
1 6 4 1 103756
1 7 1 1 41586.4
1 7 2 1 22987.2
1 7 3 1 1087.19
1 7 4 1 95218
1 8 1 1 30748.9
1 8 2 1 17787.4
1 8 3 1 755.946
1 8 4 1 88730.6
1 9 1 1 24358
1 9 2 1 15289.2
1 9 3 1 609.865
1 9 4 1 83871.2
1 10 1 1 20668.4
1 10 2 1 14171.6
1 10 3 1 546.592
1 10 4 1 80291.9
1 11 1 1 18580.2
1 11 2 1 13661.3
1 11 3 1 518.344
1 11 4 1 77708.7
1 12 1 1 17419.3
1 12 2 1 13458.2
1 12 3 1 506.607
1 12 4 1 75892.3
1 13 1 1 16784.2
1 13 2 1 13339.9
1 13 3 1 500.446
1 13 4 1 74659.1
1 14 1 1 16441.6
1 14 2 1 13296.3
1 14 3 1 498.007
1 14 4 1 73863.6
1 15 1 1 16259.1
1 15 2 1 13315
1 15 3 1 498.207
1 15 4 1 73391.4
1 16 1 1 16162.9
1 16 2 1 13326.2
1 16 3 1 498.409
1 16 4 1 73153.6
1 17 1 1 16112.8
1 17 2 1 13268.8
1 17 3 1 496.446
1 17 4 1 73081.9
1 18 1 1 16086.8
1 18 2 1 13197.3
1 18 3 1 494.044
1 18 4 1 73124.1
1 19 1 1 16073.5
1 19 2 1 13228.1
1 19 3 1 495.034
1 19 4 1 73241.2
1 20 1 1 16066.7
1 20 2 1 13226.6
1 20 3 1 494.971
1 20 4 1 73404.2
1 21 1 1 19052.8
1 21 2 1 13209.6
1 21 3 1 494.398
1 21 4 1 77901.6
1 22 1 1 21387.6
1 22 2 1 13096.9
1 22 3 1 490.62
1 22 4 1 82132.3
1 23 1 1 23110.2
1 23 2 1 13023.2
1 23 3 1 488.071
1 23 4 1 86076.2
1 24 1 1 24331.5
1 24 2 1 12940.7
1 24 3 1 485.216
1 24 4 1 89724.6
1 25 1 1 25172.7
1 25 2 1 12797.8
1 25 3 1 480.335
1 25 4 1 93077.5
1 26 1 1 25739.6
1 26 2 1 12771.7
1 26 3 1 479.341
1 26 4 1 96141.2
1 27 1 1 26115.1
1 27 2 1 12805.6
1 27 3 1 480.395
1 27 4 1 98926.5
1 28 1 1 26360.6
1 28 2 1 12793.2
1 28 3 1 479.93
1 28 4 1 101448
1 29 1 1 26519.3
1 29 2 1 12681.3
1 29 3 1 476.161
1 29 4 1 103721
1 30 1 1 26621
1 30 2 1 12656.5
1 30 3 1 475.304
1 30 4 1 105762
1 31 1 1 26685.7
1 31 2 1 12589.6
1 31 3 1 473.037
1 31 4 1 107591
1 32 1 1 26726.6
1 32 2 1 12519.6
1 32 3 1 470.642
1 32 4 1 109224
1 33 1 1 26752.3
1 33 2 1 12438
1 33 3 1 467.852
1 33 4 1 110678
1 34 1 1 26768.4
1 34 2 1 12315.1
1 34 3 1 463.659
1 34 4 1 111970
1 35 1 1 26778.4
1 35 2 1 12149
1 35 3 1 457.984
1 35 4 1 113115
1 36 1 1 26784.7
1 36 2 1 12075.2
1 36 3 1 455.403
1 36 4 1 114128
1 37 1 1 26788.6
1 37 2 1 12057.9
1 37 3 1 454.732
1 37 4 1 115023
1 38 1 1 26791
1 38 2 1 12055.1
1 38 3 1 454.564
1 38 4 1 115812
1 39 1 1 26792.4
1 39 2 1 11982.8
1 39 3 1 452.065
1 39 4 1 116506
1 40 1 1 26793.3
1 40 2 1 12000.5
1 40 3 1 452.633
1 40 4 1 117117
1 41 1 1 26793.9
1 41 2 1 11971
1 41 3 1 451.615
1 41 4 1 117653
1 42 1 1 26794.3
1 42 2 1 11966.2
1 42 3 1 451.43
1 42 4 1 118122
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215546
1 2 4 1 22727
1 3 1 1 126229
1 3 4 1 19506.7
1 4 1 1 78116.6
1 4 4 1 16923.5
1 5 1 1 49927.6
1 5 4 1 14873.3
1 6 1 1 32643.1
1 6 4 1 13263.9
1 7 1 1 21934.2
1 7 4 1 12014.6
1 8 1 1 15366.9
1 8 4 1 11056.7
1 9 1 1 11416.5
1 9 4 1 10331.9
1 10 1 1 9091.74
1 10 4 1 9791.91
1 11 1 1 7752.7
1 11 4 1 9396.8
1 12 1 1 6996.58
1 12 4 1 9114.08
1 13 1 1 6577.16
1 13 4 1 8917.56
1 14 1 1 6348.16
1 14 4 1 8786.3
1 15 1 1 6224.86
1 15 4 1 8703.77
1 16 1 1 6159.29
1 16 4 1 8657.01
1 17 1 1 6124.8
1 17 4 1 8635.97
1 18 1 1 6106.83
1 18 4 1 8632.95
1 19 1 1 6097.55
1 19 4 1 8642.12
1 20 1 1 6092.79
1 20 4 1 8659.13
1 21 1 1 2765.94
1 21 4 1 3641.56
1 22 1 1 3272.56
1 22 4 1 3865.12
1 23 1 1 3664.81
1 23 4 1 4074.68
1 24 1 1 3952.24
1 24 4 1 4269.44
1 25 1 1 4155.03
1 25 4 1 4449.11
1 26 1 1 4294.18
1 26 4 1 4613.83
1 27 1 1 4387.68
1 27 4 1 4764.01
1 28 1 1 4449.47
1 28 4 1 4900.29
1 29 1 1 4489.78
1 29 4 1 5023.41
1 30 1 1 4515.8
1 30 4 1 5134.23
1 31 1 1 4532.45
1 31 4 1 5233.64
1 32 1 1 4543.02
1 32 4 1 5322.54
1 33 1 1 4549.7
1 33 4 1 5401.82
1 34 1 1 4553.9
1 34 4 1 5472.34
1 35 1 1 4556.53
1 35 4 1 5534.93
1 36 1 1 4558.16
1 36 4 1 5590.36
1 37 1 1 4559.18
1 37 4 1 5639.35
1 38 1 1 4559.81
1 38 4 1 5682.58
1 39 1 1 4560.2
1 39 4 1 5720.66
1 40 1 1 4560.45
1 40 4 1 5754.15
1 41 1 1 4560.6
1 41 4 1 5783.56
1 42 1 1 4560.69
1 42 4 1 5809.36
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.3
2 3 2 1 141625
2 3 3 1 37704
2 4 2 1 82195.1
2 4 3 1 16934.6
2 5 2 1 49133.8
2 5 3 1 8376.83
2 6 2 1 30565.6
2 6 3 1 4634.4
2 7 2 1 20386.1
2 7 3 1 2912.81
2 8 2 1 15017.2
2 8 3 1 2100.19
2 9 2 1 12271.7
2 9 3 1 1710.26
2 10 2 1 10959.1
2 10 3 1 1529.29
2 11 2 1 10369.8
2 11 3 1 1448.33
2 12 2 1 10115.6
2 12 3 1 1412.08
2 13 2 1 10007.8
2 13 3 1 1395.85
2 14 2 1 9953.04
2 14 3 1 1387.02
2 15 2 1 9946.49
2 15 3 1 1385.16
2 16 2 1 9963.25
2 16 3 1 1386.73
2 17 2 1 9952.61
2 17 3 1 1384.93
2 18 2 1 9903.79
2 18 3 1 1378.46
2 19 2 1 9880.04
2 19 3 1 1375.54
2 20 2 1 9892
2 20 3 1 1377.71
2 21 2 1 9886.34
2 21 3 1 1376.93
2 22 2 1 9839.96
2 22 3 1 1371.24
2 23 2 1 9760.71
2 23 3 1 1361.38
2 24 2 1 9693.57
2 24 3 1 1353.93
2 25 2 1 9602.37
2 25 3 1 1343.53
2 26 2 1 9522.85
2 26 3 1 1334.22
2 27 2 1 9516.63
2 27 3 1 1334.69
2 28 2 1 9525.87
2 28 3 1 1336.56
2 29 2 1 9482.07
2 29 3 1 1331.15
2 30 2 1 9420.72
2 30 3 1 1323.4
2 31 2 1 9382.46
2 31 3 1 1319.69
2 32 2 1 9325.35
2 32 3 1 1313.09
2 33 2 1 9262.26
2 33 3 1 1305.86
2 34 2 1 9179.36
2 34 3 1 1296.28
2 35 2 1 9062.13
2 35 3 1 1282.46
2 36 2 1 8955.25
2 36 3 1 1270.01
2 37 2 1 8909.18
2 37 3 1 1265.73
2 38 2 1 8896.77
2 38 3 1 1265.13
2 39 2 1 8869.67
2 39 3 1 1262.13
2 40 2 1 8841.65
2 40 3 1 1258.47
2 41 2 1 8837.63
2 41 3 1 1258.64
2 42 2 1 8822.1
2 42 3 1 1256.67
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0435928 1.26685 3.79874 4.20625 1.1549
